MONTH,ORIGIN_AIRPORT,AIRLINE,ARRIVAL_DELAY,COUNT
January,BOS,Alaska Airlines Inc.,12.54807692,108
January,BOS,JetBlue Airways,6.127062706,3273
January,BOS,Delta Air Lines Inc.,5.849915683,1273
January,BOS,Atlantic Southeast Airlines,8.291666667,188
January,BOS,Spirit Air Lines,9.313559322,124
January,BOS,Skywest Airlines Inc.,20.39285714,30
January,BOS,United Air Lines Inc.,6.250374813,719
January,BOS,US Airways Inc.,5.477952756,1411
January,BOS,Virgin America,-0.816666667,126
January,BOS,Southwest Airlines Co.,0.408345753,720
January,BPT,Atlantic Southeast Airlines,26.87931034,62
January,BPT,American Eagle Airlines Inc.,23.43333333,31
January,BQK,Atlantic Southeast Airlines,1,85
January,BQN,JetBlue Airways,7.897435897,79
January,BQN,Spirit Air Lines,9.166666667,13
January,BQN,United Air Lines Inc.,18.22727273,24
January,BRD,Skywest Airlines Inc.,5.134615385,54
January,BRO,Atlantic Southeast Airlines,4.369791667,204
January,BRW,Alaska Airlines Inc.,6.4375,80
January,BTM,Skywest Airlines Inc.,-14.05084746,62
January,BTR,Delta Air Lines Inc.,-6.95,20
January,BTR,Atlantic Southeast Airlines,13.36997886,483
January,BTR,American Eagle Airlines Inc.,8.986206897,150
January,BTR,United Air Lines Inc.,45.5,2
January,BTV,JetBlue Airways,-1.047058824,92
January,BTV,Atlantic Southeast Airlines,14.90410959,149
January,BUF,JetBlue Airways,4.569131833,327
January,BUF,Delta Air Lines Inc.,-11.70063694,157
January,BUF,Atlantic Southeast Airlines,14.20895522,144
January,BUF,American Eagle Airlines Inc.,25.25862069,66
January,BUF,Skywest Airlines Inc.,9.25,4
January,BUF,United Air Lines Inc.,4.25,4
January,BUF,US Airways Inc.,5.372727273,111
January,BUF,Southwest Airlines Co.,1.845824411,481
January,BUR,Alaska Airlines Inc.,5.075268817,93
January,BUR,JetBlue Airways,6.481481481,31
January,BUR,Skywest Airlines Inc.,4.912536443,347
January,BUR,Southwest Airlines Co.,3.820620285,1232
January,BWI,American Airlines Inc.,11.03703704,218
January,BWI,Alaska Airlines Inc.,19.74193548,31
January,BWI,JetBlue Airways,1.652173913,129
January,BWI,Delta Air Lines Inc.,-3.0546875,514
January,BWI,Atlantic Southeast Airlines,11.61904762,22
January,BWI,American Eagle Airlines Inc.,33.36144578,92
January,BWI,Spirit Air Lines,-0.367741935,155
January,BWI,Skywest Airlines Inc.,143,1
January,BWI,United Air Lines Inc.,5.028409091,180
January,BWI,US Airways Inc.,0.490625,325
January,BWI,Southwest Airlines Co.,6.357282312,5254
January,BZN,Delta Air Lines Inc.,-0.581081081,74
January,BZN,Frontier Airlines Inc.,4.578947368,20
January,BZN,Skywest Airlines Inc.,8.025862069,117
January,BZN,United Air Lines Inc.,8.365853659,41
January,CAE,Delta Air Lines Inc.,8.565789474,76
January,CAE,Atlantic Southeast Airlines,13.45961003,371
January,CAE,American Eagle Airlines Inc.,9.85,84
January,CAK,Delta Air Lines Inc.,1.477477477,111
January,CAK,Atlantic Southeast Airlines,7.14159292,115
January,CAK,Skywest Airlines Inc.,75,2
January,CAK,Southwest Airlines Co.,-3.682098765,331
January,CDC,Skywest Airlines Inc.,-4.018867925,53
January,CDV,Alaska Airlines Inc.,-8.694915254,60
January,CEC,Skywest Airlines Inc.,21.4137931,60
January,CHA,Delta Air Lines Inc.,-6.978947368,95
January,CHA,Atlantic Southeast Airlines,-1.462121212,132
January,CHA,American Eagle Airlines Inc.,11.67948718,85
January,CHO,Delta Air Lines Inc.,-5.958333333,24
January,CHO,Atlantic Southeast Airlines,1.875,84
January,CHO,American Eagle Airlines Inc.,26.26923077,31
January,CHO,Skywest Airlines Inc.,34.30188679,62
January,CHS,JetBlue Airways,12.51408451,150
